State,Population
 California,37254523
 Texas,25145561
 Florida,18801310
 New York,19378102
 Pennsylvania,12702379
 Illinois,12830632
 Ohio,11536504
 Georgia,9687653
 North Carolina,9535483
 Michigan,9883640
 New Jersey,8791894
 Virginia,8001024
 Washington,6724540
 Arizona,6392017
 Massachusetts,6547629
 Tennessee,6346105
 Indiana,6483802
 Missouri,5988927
 Maryland,5773552
 Wisconsin,5686986
 Colorado,5029196
 Minnesota,5303925
 South Carolina,4625364
 Alabama,4779736
 Louisiana,4533372
 Kentucky,4339367
 Oregon,3831074
 Oklahoma,3751351
 Connecticut,3574097
 Utah,2763885
 Iowa,3046355
 Nevada,2700551
 Arkansas,2915918
 Mississippi,2967297
 Kansas,2853118
 New Mexico,2059179
 Nebraska,1826341
 West Virginia,1852994
 Idaho,1567582
 Hawaii,1360301
 New Hampshire,1316470
 Maine,1328361
 Montana,989415
 Rhode Island,1052567
 Delaware,897934
 South Dakota,814180
 North Dakota,672591
 Alaska,710231
 Vermont,625741
 Wyoming,563626